source,target,weight
600008.XSHG,600141.XSHG,1
600008.XSHG,600639.XSHG,1
600008.XSHG,600684.XSHG,1
600009.XSHG,600663.XSHG,1
600010.XSHG,600111.XSHG,1
600010.XSHG,600549.XSHG,1
600011.XSHG,600027.XSHG,1
600015.XSHG,600016.XSHG,1
600015.XSHG,600036.XSHG,1
600015.XSHG,600875.XSHG,1
600015.XSHG,601166.XSHG,1
600015.XSHG,601288.XSHG,1
600015.XSHG,601328.XSHG,1
600015.XSHG,601398.XSHG,1
600015.XSHG,601818.XSHG,1
600015.XSHG,601988.XSHG,1
600016.XSHG,600036.XSHG,1
600016.XSHG,600170.XSHG,1
600016.XSHG,600875.XSHG,1
600016.XSHG,601166.XSHG,1
600016.XSHG,601288.XSHG,1
600016.XSHG,601328.XSHG,1
600016.XSHG,601398.XSHG,1
600016.XSHG,601818.XSHG,1
600016.XSHG,601988.XSHG,1
600019.XSHG,600031.XSHG,1
600027.XSHG,600795.XSHG,1
600028.XSHG,601857.XSHG,1
600029.XSHG,600221.XSHG,1
600029.XSHG,601111.XSHG,1
600036.XSHG,601166.XSHG,1
600036.XSHG,601328.XSHG,1
600036.XSHG,601398.XSHG,1
600036.XSHG,601818.XSHG,1
600048.XSHG,600585.XSHG,1
600066.XSHG,600067.XSHG,1
600067.XSHG,600141.XSHG,1
600094.XSHG,600748.XSHG,1
600108.XSHG,600598.XSHG,1
600108.XSHG,601118.XSHG,1
600109.XSHG,601555.XSHG,1
600111.XSHG,600549.XSHG,1
600118.XSHG,600150.XSHG,1
600118.XSHG,600316.XSHG,1
600118.XSHG,600372.XSHG,1
600123.XSHG,600188.XSHG,1
600123.XSHG,600348.XSHG,1
600123.XSHG,600362.XSHG,1
600123.XSHG,600395.XSHG,1
600123.XSHG,600546.XSHG,1
600123.XSHG,601600.XSHG,1
600123.XSHG,601699.XSHG,1
600123.XSHG,601717.XSHG,1
600141.XSHG,600639.XSHG,1
600141.XSHG,600684.XSHG,1
600141.XSHG,600895.XSHG,1
600150.XSHG,600316.XSHG,1
600150.XSHG,600372.XSHG,1
600150.XSHG,601808.XSHG,1
600150.XSHG,601989.XSHG,1
600162.XSHG,600177.XSHG,1
600170.XSHG,600239.XSHG,1
600170.XSHG,600663.XSHG,1
600170.XSHG,601328.XSHG,1
600170.XSHG,601398.XSHG,1
600177.XSHG,600823.XSHG,1
600188.XSHG,600546.XSHG,1
600188.XSHG,601600.XSHG,1
600188.XSHG,601699.XSHG,1
600196.XSHG,600216.XSHG,1
600196.XSHG,600535.XSHG,1
600208.XSHG,600823.XSHG,1
600216.XSHG,600535.XSHG,1
600216.XSHG,601928.XSHG,1
600221.XSHG,601111.XSHG,1
600239.XSHG,601398.XSHG,1
600267.XSHG,600970.XSHG,1
600316.XSHG,600372.XSHG,1
600348.XSHG,600546.XSHG,1
600348.XSHG,601600.XSHG,1
600348.XSHG,601699.XSHG,1
600352.XSHG,600516.XSHG,1
600362.XSHG,600489.XSHG,1
600362.XSHG,600497.XSHG,1
600362.XSHG,600546.XSHG,1
600362.XSHG,600547.XSHG,1
600362.XSHG,601600.XSHG,1
600362.XSHG,601699.XSHG,1
600362.XSHG,601958.XSHG,1
