source,target,weight
600369.XSHG,600999.XSHG,1
600369.XSHG,601099.XSHG,1
600369.XSHG,601555.XSHG,1
600369.XSHG,601688.XSHG,1
600376.XSHG,601588.XSHG,1
600489.XSHG,600497.XSHG,1
600489.XSHG,600547.XSHG,1
600489.XSHG,601899.XSHG,1
600497.XSHG,600546.XSHG,1
600497.XSHG,600547.XSHG,1
600497.XSHG,601600.XSHG,1
600497.XSHG,601699.XSHG,1
600497.XSHG,601958.XSHG,1
600503.XSHG,600516.XSHG,1
600535.XSHG,600600.XSHG,1
600546.XSHG,600875.XSHG,1
600546.XSHG,601600.XSHG,1
600546.XSHG,601699.XSHG,1
600588.XSHG,600804.XSHG,1
600597.XSHG,600823.XSHG,1
600597.XSHG,600887.XSHG,1
600598.XSHG,601118.XSHG,1
600639.XSHG,600663.XSHG,1
600674.XSHG,600886.XSHG,1
600741.XSHG,600886.XSHG,1
600770.XSHG,603000.XSHG,1
600795.XSHG,600886.XSHG,1
600875.XSHG,601398.XSHG,1
600970.XSHG,601328.XSHG,1
600999.XSHG,601688.XSHG,1
601088.XSHG,601857.XSHG,1
601099.XSHG,601377.XSHG,1
601099.XSHG,601901.XSHG,1
601166.XSHG,601288.XSHG,1
601166.XSHG,601328.XSHG,1
601166.XSHG,601398.XSHG,1
601166.XSHG,601818.XSHG,1
601166.XSHG,601988.XSHG,1
601186.XSHG,601390.XSHG,1
601186.XSHG,601669.XSHG,1
601186.XSHG,601766.XSHG,1
601186.XSHG,601800.XSHG,1
601288.XSHG,601328.XSHG,1
601288.XSHG,601398.XSHG,1
601288.XSHG,601818.XSHG,1
601288.XSHG,601939.XSHG,1
601288.XSHG,601988.XSHG,1
601288.XSHG,601998.XSHG,1
601328.XSHG,601398.XSHG,1
601328.XSHG,601818.XSHG,1
601328.XSHG,601988.XSHG,1
601328.XSHG,601998.XSHG,1
601377.XSHG,601901.XSHG,1
601390.XSHG,601669.XSHG,1
601390.XSHG,601766.XSHG,1
601390.XSHG,601800.XSHG,1
601398.XSHG,601818.XSHG,1
601398.XSHG,601988.XSHG,1
601600.XSHG,601699.XSHG,1
601601.XSHG,601628.XSHG,1
601668.XSHG,601669.XSHG,1
601668.XSHG,601800.XSHG,1
601669.XSHG,601800.XSHG,1
601818.XSHG,601939.XSHG,1
601818.XSHG,601988.XSHG,1
601818.XSHG,601998.XSHG,1
601939.XSHG,601988.XSHG,1
601988.XSHG,601998.XSHG,1
