source,target,weight
600064.XSHG,600748.XSHG,1
600064.XSHG,600823.XSHG,1
600066.XSHG,600418.XSHG,1
600067.XSHG,600208.XSHG,1
600067.XSHG,600239.XSHG,1
600067.XSHG,600240.XSHG,1
600067.XSHG,600316.XSHG,1
600067.XSHG,600376.XSHG,1
600067.XSHG,600684.XSHG,1
600067.XSHG,600823.XSHG,1
600067.XSHG,600893.XSHG,1
600067.XSHG,601800.XSHG,1
600067.XSHG,601989.XSHG,1
600089.XSHG,600143.XSHG,1
600089.XSHG,600196.XSHG,1
600089.XSHG,601166.XSHG,1
600089.XSHG,601328.XSHG,1
600089.XSHG,601928.XSHG,1
600094.XSHG,600104.XSHG,1
600094.XSHG,600266.XSHG,1
600094.XSHG,600340.XSHG,1
600094.XSHG,600503.XSHG,1
600094.XSHG,600684.XSHG,1
600094.XSHG,600816.XSHG,1
600094.XSHG,601398.XSHG,1
600100.XSHG,600221.XSHG,1
600100.XSHG,600770.XSHG,1
600100.XSHG,601928.XSHG,1
600104.XSHG,600816.XSHG,1
600104.XSHG,601600.XSHG,1
600104.XSHG,601888.XSHG,1
600108.XSHG,600256.XSHG,1
600108.XSHG,600415.XSHG,1
600108.XSHG,600598.XSHG,1
600108.XSHG,601118.XSHG,1
600109.XSHG,600118.XSHG,1
600109.XSHG,600199.XSHG,1
600109.XSHG,600276.XSHG,1
600109.XSHG,600316.XSHG,1
600109.XSHG,600702.XSHG,1
600109.XSHG,600875.XSHG,1
600109.XSHG,600893.XSHG,1
600109.XSHG,601009.XSHG,1
600109.XSHG,601099.XSHG,1
600109.XSHG,601166.XSHG,1
600109.XSHG,601169.XSHG,1
600109.XSHG,601633.XSHG,1
600109.XSHG,601928.XSHG,1
600109.XSHG,601939.XSHG,1
600111.XSHG,600362.XSHG,1
600111.XSHG,600406.XSHG,1
600111.XSHG,600549.XSHG,1
600118.XSHG,600150.XSHG,1
600118.XSHG,600158.XSHG,1
600118.XSHG,600196.XSHG,1
600118.XSHG,600216.XSHG,1
600118.XSHG,600316.XSHG,1
600118.XSHG,600372.XSHG,1
600118.XSHG,600418.XSHG,1
600118.XSHG,600498.XSHG,1
600118.XSHG,600588.XSHG,1
600118.XSHG,600703.XSHG,1
600118.XSHG,600765.XSHG,1
600118.XSHG,600770.XSHG,1
600118.XSHG,600804.XSHG,1
600118.XSHG,600893.XSHG,1
600118.XSHG,601166.XSHG,1
600118.XSHG,601169.XSHG,1
600118.XSHG,601216.XSHG,1
600118.XSHG,601328.XSHG,1
600118.XSHG,601398.XSHG,1
600118.XSHG,601818.XSHG,1
600118.XSHG,601928.XSHG,1
600118.XSHG,601939.XSHG,1
600118.XSHG,601988.XSHG,1
600118.XSHG,601989.XSHG,1
600123.XSHG,600157.XSHG,1
600123.XSHG,600188.XSHG,1
600123.XSHG,600348.XSHG,1
600123.XSHG,600395.XSHG,1
600123.XSHG,600546.XSHG,1
600123.XSHG,601699.XSHG,1
600141.XSHG,600418.XSHG,1
600143.XSHG,600518.XSHG,1
600143.XSHG,601118.XSHG,1
600150.XSHG,600158.XSHG,1
600150.XSHG,600208.XSHG,1
600150.XSHG,600316.XSHG,1
600150.XSHG,600372.XSHG,1
600150.XSHG,600418.XSHG,1
600150.XSHG,600588.XSHG,1
600150.XSHG,600674.XSHG,1
600150.XSHG,600886.XSHG,1
600150.XSHG,600893.XSHG,1
600150.XSHG,601328.XSHG,1
600150.XSHG,601928.XSHG,1
600150.XSHG,601989.XSHG,1
600157.XSHG,600177.XSHG,1
600157.XSHG,600188.XSHG,1
600157.XSHG,600348.XSHG,1
600157.XSHG,600395.XSHG,1
600157.XSHG,600546.XSHG,1
600157.XSHG,601699.XSHG,1
600158.XSHG,600372.XSHG,1
600158.XSHG,601169.XSHG,1
600158.XSHG,601216.XSHG,1
600158.XSHG,601928.XSHG,1
600158.XSHG,601939.XSHG,1
600160.XSHG,600875.XSHG,1
600162.XSHG,600315.XSHG,1
600162.XSHG,600887.XSHG,1
600162.XSHG,601009.XSHG,1
600162.XSHG,601111.XSHG,1
600162.XSHG,601717.XSHG,1
600166.XSHG,600406.XSHG,1
600166.XSHG,600498.XSHG,1
600166.XSHG,601989.XSHG,1
600188.XSHG,600348.XSHG,1
600188.XSHG,600362.XSHG,1
600188.XSHG,600546.XSHG,1
600188.XSHG,601600.XSHG,1
600188.XSHG,601699.XSHG,1
600196.XSHG,600216.XSHG,1
600196.XSHG,600366.XSHG,1
600196.XSHG,600518.XSHG,1
600196.XSHG,600583.XSHG,1
600196.XSHG,600837.XSHG,1
600196.XSHG,601607.XSHG,1
600196.XSHG,601808.XSHG,1
600196.XSHG,601928.XSHG,1
600196.XSHG,601939.XSHG,1
600199.XSHG,600519.XSHG,1
600199.XSHG,600702.XSHG,1
600199.XSHG,600809.XSHG,1
600208.XSHG,600823.XSHG,1
600216.XSHG,600366.XSHG,1
600216.XSHG,600372.XSHG,1
600216.XSHG,600406.XSHG,1
600216.XSHG,600588.XSHG,1
600216.XSHG,600970.XSHG,1
600216.XSHG,601216.XSHG,1
600216.XSHG,601928.XSHG,1
600216.XSHG,601939.XSHG,1
600239.XSHG,600316.XSHG,1
600239.XSHG,600325.XSHG,1
600239.XSHG,600684.XSHG,1
600239.XSHG,600823.XSHG,1
600239.XSHG,601989.XSHG,1
600240.XSHG,600266.XSHG,1
600240.XSHG,600300.XSHG,1
600240.XSHG,600503.XSHG,1
600252.XSHG,600267.XSHG,1
600252.XSHG,600498.XSHG,1
600252.XSHG,600549.XSHG,1
600266.XSHG,600325.XSHG,1
600266.XSHG,600340.XSHG,1
600266.XSHG,600376.XSHG,1
600266.XSHG,600383.XSHG,1
600266.XSHG,600503.XSHG,1
600266.XSHG,600516.XSHG,1
600266.XSHG,600823.XSHG,1
600266.XSHG,601607.XSHG,1
600267.XSHG,600276.XSHG,1
600267.XSHG,600498.XSHG,1
600267.XSHG,600518.XSHG,1
600267.XSHG,601009.XSHG,1
600267.XSHG,601166.XSHG,1
600267.XSHG,601169.XSHG,1
600267.XSHG,601328.XSHG,1
600267.XSHG,601818.XSHG,1
600276.XSHG,600518.XSHG,1
600276.XSHG,601398.XSHG,1
600300.XSHG,600702.XSHG,1
600300.XSHG,601166.XSHG,1
600309.XSHG,600690.XSHG,1
600309.XSHG,601186.XSHG,1
600309.XSHG,601390.XSHG,1
600315.XSHG,600518.XSHG,1
600315.XSHG,600887.XSHG,1
600315.XSHG,601009.XSHG,1
600316.XSHG,600372.XSHG,1
600316.XSHG,600703.XSHG,1
600316.XSHG,600765.XSHG,1
600316.XSHG,600770.XSHG,1
600316.XSHG,600893.XSHG,1
600316.XSHG,601166.XSHG,1
600316.XSHG,601169.XSHG,1
600316.XSHG,601328.XSHG,1
600316.XSHG,601928.XSHG,1
600316.XSHG,601939.XSHG,1
600316.XSHG,601989.XSHG,1
600325.XSHG,600406.XSHG,1
600325.XSHG,600585.XSHG,1
600325.XSHG,600684.XSHG,1
600325.XSHG,600823.XSHG,1
600325.XSHG,601992.XSHG,1
600332.XSHG,600366.XSHG,1
600332.XSHG,600765.XSHG,1
600340.XSHG,600383.XSHG,1
600340.XSHG,600823.XSHG,1
600348.XSHG,600546.XSHG,1
600348.XSHG,601699.XSHG,1
600362.XSHG,600489.XSHG,1
600362.XSHG,600497.XSHG,1
600362.XSHG,601899.XSHG,1
600362.XSHG,603993.XSHG,1
600366.XSHG,600418.XSHG,1
600369.XSHG,600837.XSHG,1
600369.XSHG,600999.XSHG,1
600369.XSHG,601099.XSHG,1
600369.XSHG,601377.XSHG,1
600369.XSHG,601555.XSHG,1
600369.XSHG,601688.XSHG,1
600369.XSHG,601901.XSHG,1
600372.XSHG,600498.XSHG,1
600372.XSHG,600804.XSHG,1
600372.XSHG,600893.XSHG,1
600372.XSHG,601118.XSHG,1
600372.XSHG,601166.XSHG,1
600372.XSHG,601216.XSHG,1
600372.XSHG,601328.XSHG,1
600372.XSHG,601818.XSHG,1
600372.XSHG,601928.XSHG,1
600372.XSHG,601939.XSHG,1
600372.XSHG,601988.XSHG,1
600372.XSHG,603000.XSHG,1
600372.XSHG,603993.XSHG,1
600376.XSHG,600823.XSHG,1
600376.XSHG,601588.XSHG,1
600376.XSHG,601668.XSHG,1
600376.XSHG,601992.XSHG,1
600383.XSHG,600748.XSHG,1
600395.XSHG,601699.XSHG,1
600406.XSHG,600489.XSHG,1
600406.XSHG,600547.XSHG,1
600406.XSHG,601939.XSHG,1
600406.XSHG,601988.XSHG,1
600406.XSHG,603993.XSHG,1
600415.XSHG,601899.XSHG,1
600418.XSHG,600588.XSHG,1
600418.XSHG,601288.XSHG,1
600418.XSHG,601939.XSHG,1
600418.XSHG,601989.XSHG,1
600489.XSHG,600497.XSHG,1
600489.XSHG,600547.XSHG,1
600489.XSHG,601899.XSHG,1
600489.XSHG,603993.XSHG,1
600497.XSHG,600547.XSHG,1
600497.XSHG,600549.XSHG,1
600497.XSHG,601669.XSHG,1
600497.XSHG,601899.XSHG,1
600497.XSHG,603993.XSHG,1
600498.XSHG,600893.XSHG,1
600498.XSHG,601166.XSHG,1
600498.XSHG,601169.XSHG,1
600498.XSHG,601216.XSHG,1
600498.XSHG,601328.XSHG,1
600498.XSHG,601818.XSHG,1
600498.XSHG,601928.XSHG,1
600498.XSHG,603000.XSHG,1
600503.XSHG,600516.XSHG,1
600516.XSHG,600703.XSHG,1
600516.XSHG,601328.XSHG,1
600516.XSHG,601939.XSHG,1
600516.XSHG,603993.XSHG,1
600518.XSHG,600887.XSHG,1
600518.XSHG,601009.XSHG,1
600518.XSHG,601166.XSHG,1
600518.XSHG,601328.XSHG,1
600518.XSHG,601601.XSHG,1
600518.XSHG,601628.XSHG,1
600518.XSHG,601928.XSHG,1
600518.XSHG,601939.XSHG,1
600518.XSHG,601988.XSHG,1
600519.XSHG,600702.XSHG,1
600519.XSHG,600809.XSHG,1
600546.XSHG,601699.XSHG,1
600546.XSHG,601800.XSHG,1
600546.XSHG,601992.XSHG,1
600547.XSHG,601899.XSHG,1
600547.XSHG,603993.XSHG,1
600549.XSHG,601633.XSHG,1
600583.XSHG,600741.XSHG,1
600583.XSHG,601328.XSHG,1
600583.XSHG,601808.XSHG,1
600583.XSHG,601818.XSHG,1
600583.XSHG,601958.XSHG,1
600585.XSHG,601088.XSHG,1
600585.XSHG,601398.XSHG,1
600588.XSHG,601989.XSHG,1
600597.XSHG,600887.XSHG,1
600598.XSHG,601118.XSHG,1
600600.XSHG,603000.XSHG,1
600639.XSHG,600663.XSHG,1
600639.XSHG,600804.XSHG,1
600639.XSHG,600895.XSHG,1
600663.XSHG,600748.XSHG,1
600663.XSHG,600895.XSHG,1
600663.XSHG,601318.XSHG,1
600663.XSHG,601336.XSHG,1
600674.XSHG,600886.XSHG,1
600684.XSHG,600823.XSHG,1
600684.XSHG,603000.XSHG,1
600690.XSHG,600741.XSHG,1
600690.XSHG,601601.XSHG,1
600690.XSHG,601888.XSHG,1
600702.XSHG,600809.XSHG,1
600702.XSHG,601216.XSHG,1
600702.XSHG,601699.XSHG,1
600702.XSHG,601928.XSHG,1
600703.XSHG,600875.XSHG,1
600703.XSHG,600893.XSHG,1
600703.XSHG,601328.XSHG,1
600703.XSHG,601928.XSHG,1
600736.XSHG,601800.XSHG,1
600741.XSHG,601808.XSHG,1
600741.XSHG,601958.XSHG,1
600748.XSHG,600895.XSHG,1
600748.XSHG,601318.XSHG,1
600748.XSHG,601818.XSHG,1
600748.XSHG,601958.XSHG,1
600748.XSHG,601992.XSHG,1
600765.XSHG,600770.XSHG,1
600765.XSHG,600893.XSHG,1
600765.XSHG,601216.XSHG,1
600770.XSHG,600893.XSHG,1
600770.XSHG,601928.XSHG,1
600795.XSHG,600886.XSHG,1
600804.XSHG,601328.XSHG,1
600804.XSHG,601818.XSHG,1
600804.XSHG,601928.XSHG,1
600804.XSHG,601939.XSHG,1
600804.XSHG,603000.XSHG,1
600823.XSHG,601588.XSHG,1
600823.XSHG,601668.XSHG,1
600823.XSHG,601800.XSHG,1
600823.XSHG,601992.XSHG,1
600837.XSHG,600999.XSHG,1
600837.XSHG,601555.XSHG,1
600837.XSHG,601688.XSHG,1
600837.XSHG,601901.XSHG,1
600887.XSHG,601009.XSHG,1
600893.XSHG,601009.XSHG,1
600893.XSHG,601166.XSHG,1
600893.XSHG,601328.XSHG,1
600893.XSHG,601928.XSHG,1
600893.XSHG,601939.XSHG,1
600893.XSHG,601989.XSHG,1
600970.XSHG,601939.XSHG,1
600970.XSHG,601988.XSHG,1
600999.XSHG,601555.XSHG,1
600999.XSHG,601688.XSHG,1
600999.XSHG,601901.XSHG,1
601009.XSHG,601166.XSHG,1
601009.XSHG,601169.XSHG,1
601009.XSHG,601328.XSHG,1
601009.XSHG,601398.XSHG,1
601009.XSHG,601633.XSHG,1
601009.XSHG,601818.XSHG,1
601009.XSHG,601939.XSHG,1
601009.XSHG,601988.XSHG,1
601088.XSHG,601398.XSHG,1
601099.XSHG,601216.XSHG,1
601099.XSHG,601901.XSHG,1
601099.XSHG,601928.XSHG,1
601118.XSHG,601928.XSHG,1
601166.XSHG,601169.XSHG,1
601166.XSHG,601288.XSHG,1
601166.XSHG,601328.XSHG,1
601166.XSHG,601818.XSHG,1
601166.XSHG,601928.XSHG,1
601166.XSHG,601939.XSHG,1
601166.XSHG,601988.XSHG,1
601169.XSHG,601216.XSHG,1
601169.XSHG,601328.XSHG,1
601169.XSHG,601818.XSHG,1
601169.XSHG,601928.XSHG,1
601169.XSHG,601988.XSHG,1
601169.XSHG,601998.XSHG,1
601186.XSHG,601390.XSHG,1
601186.XSHG,601766.XSHG,1
601216.XSHG,601928.XSHG,1
601288.XSHG,601328.XSHG,1
601288.XSHG,601398.XSHG,1
601288.XSHG,601818.XSHG,1
601288.XSHG,601939.XSHG,1
601288.XSHG,601988.XSHG,1
601328.XSHG,601398.XSHG,1
601328.XSHG,601818.XSHG,1
601328.XSHG,601928.XSHG,1
601328.XSHG,601939.XSHG,1
601328.XSHG,601958.XSHG,1
601328.XSHG,601988.XSHG,1
601328.XSHG,601989.XSHG,1
601328.XSHG,603000.XSHG,1
601328.XSHG,603993.XSHG,1
601377.XSHG,601555.XSHG,1
601377.XSHG,601588.XSHG,1
601377.XSHG,601668.XSHG,1
601377.XSHG,601688.XSHG,1
601377.XSHG,601800.XSHG,1
601390.XSHG,601766.XSHG,1
601398.XSHG,601818.XSHG,1
601398.XSHG,601939.XSHG,1
601398.XSHG,601988.XSHG,1
601555.XSHG,601688.XSHG,1
601555.XSHG,601888.XSHG,1
601555.XSHG,601901.XSHG,1
601588.XSHG,601668.XSHG,1
601588.XSHG,601800.XSHG,1
601588.XSHG,601992.XSHG,1
601601.XSHG,601628.XSHG,1
601668.XSHG,601800.XSHG,1
601668.XSHG,601992.XSHG,1
601688.XSHG,601901.XSHG,1
601717.XSHG,601992.XSHG,1
601800.XSHG,601992.XSHG,1
601818.XSHG,601928.XSHG,1
601818.XSHG,601939.XSHG,1
601818.XSHG,601958.XSHG,1
601818.XSHG,601988.XSHG,1
601818.XSHG,601998.XSHG,1
601928.XSHG,601939.XSHG,1
601928.XSHG,601988.XSHG,1
601928.XSHG,603000.XSHG,1
601939.XSHG,601988.XSHG,1
601939.XSHG,603993.XSHG,1
601958.XSHG,601988.XSHG,1
601958.XSHG,603993.XSHG,1
601988.XSHG,603993.XSHG,1
