source,target,weight
600000.XSHG,600015.XSHG,1
600000.XSHG,600036.XSHG,1
600000.XSHG,600058.XSHG,1
600000.XSHG,600089.XSHG,1
600000.XSHG,600166.XSHG,1
600000.XSHG,600267.XSHG,1
600000.XSHG,600418.XSHG,1
600000.XSHG,600498.XSHG,1
600000.XSHG,601166.XSHG,1
600000.XSHG,601288.XSHG,1
600000.XSHG,601328.XSHG,1
600000.XSHG,601988.XSHG,1
600008.XSHG,600366.XSHG,1
600008.XSHG,601607.XSHG,1
600008.XSHG,601888.XSHG,1
600009.XSHG,600018.XSHG,1
600009.XSHG,600663.XSHG,1
600009.XSHG,600895.XSHG,1
600009.XSHG,601600.XSHG,1
600010.XSHG,600340.XSHG,1
600010.XSHG,600383.XSHG,1
600010.XSHG,600406.XSHG,1
600011.XSHG,600027.XSHG,1
600011.XSHG,600795.XSHG,1
600015.XSHG,600016.XSHG,1
600015.XSHG,600036.XSHG,1
600015.XSHG,600058.XSHG,1
600015.XSHG,600111.XSHG,1
600015.XSHG,600267.XSHG,1
600015.XSHG,600518.XSHG,1
600015.XSHG,601009.XSHG,1
600015.XSHG,601166.XSHG,1
600015.XSHG,601318.XSHG,1
600015.XSHG,601328.XSHG,1
600015.XSHG,601818.XSHG,1
600015.XSHG,601939.XSHG,1
600015.XSHG,601958.XSHG,1
600015.XSHG,601988.XSHG,1
600015.XSHG,603993.XSHG,1
600016.XSHG,600036.XSHG,1
600016.XSHG,600118.XSHG,1
600016.XSHG,600267.XSHG,1
600016.XSHG,600276.XSHG,1
600016.XSHG,600300.XSHG,1
600016.XSHG,600498.XSHG,1
600016.XSHG,600518.XSHG,1
600016.XSHG,601009.XSHG,1
600016.XSHG,601166.XSHG,1
600016.XSHG,601328.XSHG,1
600016.XSHG,601818.XSHG,1
600016.XSHG,601928.XSHG,1
600016.XSHG,601939.XSHG,1
600016.XSHG,601988.XSHG,1
600016.XSHG,601998.XSHG,1
600018.XSHG,600085.XSHG,1
600018.XSHG,600639.XSHG,1
600018.XSHG,600663.XSHG,1
600018.XSHG,600895.XSHG,1
600019.XSHG,601588.XSHG,1
600027.XSHG,600795.XSHG,1
600027.XSHG,600886.XSHG,1
600028.XSHG,601169.XSHG,1
600028.XSHG,601857.XSHG,1
600029.XSHG,600875.XSHG,1
600029.XSHG,601009.XSHG,1
600030.XSHG,600196.XSHG,1
600030.XSHG,600369.XSHG,1
600030.XSHG,600837.XSHG,1
600030.XSHG,600999.XSHG,1
600030.XSHG,601688.XSHG,1
600030.XSHG,601901.XSHG,1
600036.XSHG,600089.XSHG,1
600036.XSHG,600118.XSHG,1
600036.XSHG,600316.XSHG,1
600036.XSHG,600372.XSHG,1
600036.XSHG,600418.XSHG,1
600036.XSHG,600893.XSHG,1
600036.XSHG,601166.XSHG,1
600036.XSHG,601169.XSHG,1
600036.XSHG,601328.XSHG,1
600036.XSHG,601818.XSHG,1
600036.XSHG,601928.XSHG,1
600036.XSHG,601939.XSHG,1
600036.XSHG,601988.XSHG,1
600048.XSHG,600067.XSHG,1
600048.XSHG,600100.XSHG,1
600048.XSHG,600118.XSHG,1
600048.XSHG,600141.XSHG,1
600048.XSHG,600216.XSHG,1
600048.XSHG,600239.XSHG,1
600048.XSHG,600366.XSHG,1
600048.XSHG,600376.XSHG,1
600048.XSHG,600383.XSHG,1
600048.XSHG,600418.XSHG,1
600048.XSHG,600585.XSHG,1
600048.XSHG,600684.XSHG,1
600048.XSHG,600770.XSHG,1
600048.XSHG,600823.XSHG,1
600048.XSHG,600893.XSHG,1
600048.XSHG,601607.XSHG,1
600048.XSHG,601668.XSHG,1
600048.XSHG,601928.XSHG,1
600048.XSHG,601992.XSHG,1
600050.XSHG,600160.XSHG,1
600058.XSHG,600111.XSHG,1
600058.XSHG,600362.XSHG,1
600058.XSHG,600497.XSHG,1
600058.XSHG,600549.XSHG,1
600058.XSHG,601899.XSHG,1
600058.XSHG,601988.XSHG,1
600058.XSHG,603993.XSHG,1
600060.XSHG,600395.XSHG,1
600064.XSHG,600067.XSHG,1
600064.XSHG,600239.XSHG,1
600064.XSHG,600325.XSHG,1
