source,target,weight
600094.XSHG,600498.XSHG,1
600094.XSHG,600503.XSHG,1
600094.XSHG,600546.XSHG,1
600094.XSHG,600588.XSHG,1
600094.XSHG,600684.XSHG,1
600094.XSHG,600702.XSHG,1
600094.XSHG,600748.XSHG,1
600094.XSHG,600770.XSHG,1
600094.XSHG,600804.XSHG,1
600094.XSHG,600809.XSHG,1
600094.XSHG,600823.XSHG,1
600094.XSHG,601088.XSHG,1
600094.XSHG,601328.XSHG,1
600094.XSHG,601398.XSHG,1
600094.XSHG,601600.XSHG,1
600094.XSHG,601717.XSHG,1
600094.XSHG,601958.XSHG,1
600094.XSHG,603000.XSHG,1
600100.XSHG,600162.XSHG,1
600100.XSHG,600498.XSHG,1
600100.XSHG,601958.XSHG,1
600104.XSHG,601169.XSHG,1
600108.XSHG,600598.XSHG,1
600108.XSHG,601118.XSHG,1
600108.XSHG,601288.XSHG,1
600108.XSHG,601328.XSHG,1
600108.XSHG,601398.XSHG,1
600108.XSHG,601818.XSHG,1
600108.XSHG,601988.XSHG,1
600109.XSHG,600395.XSHG,1
600109.XSHG,600837.XSHG,1
600109.XSHG,601099.XSHG,1
600109.XSHG,601377.XSHG,1
600109.XSHG,601555.XSHG,1
600109.XSHG,601717.XSHG,1
600109.XSHG,601901.XSHG,1
600111.XSHG,600549.XSHG,1
600118.XSHG,600150.XSHG,1
600118.XSHG,600316.XSHG,1
600118.XSHG,600372.XSHG,1
600123.XSHG,600143.XSHG,1
600123.XSHG,600162.XSHG,1
600123.XSHG,600166.XSHG,1
600123.XSHG,600188.XSHG,1
600123.XSHG,600199.XSHG,1
600123.XSHG,600216.XSHG,1
600123.XSHG,600239.XSHG,1
600123.XSHG,600348.XSHG,1
600123.XSHG,600362.XSHG,1
600123.XSHG,600395.XSHG,1
600123.XSHG,600498.XSHG,1
600123.XSHG,600546.XSHG,1
600123.XSHG,600674.XSHG,1
600123.XSHG,600684.XSHG,1
600123.XSHG,600702.XSHG,1
600123.XSHG,601099.XSHG,1
600123.XSHG,601600.XSHG,1
600123.XSHG,601699.XSHG,1
600123.XSHG,601717.XSHG,1
600123.XSHG,601901.XSHG,1
600123.XSHG,601958.XSHG,1
600143.XSHG,600199.XSHG,1
600143.XSHG,600216.XSHG,1
600143.XSHG,600239.XSHG,1
600143.XSHG,600300.XSHG,1
600143.XSHG,600395.XSHG,1
600143.XSHG,600498.XSHG,1
600143.XSHG,600546.XSHG,1
600143.XSHG,600588.XSHG,1
600143.XSHG,600702.XSHG,1
600143.XSHG,600770.XSHG,1
600143.XSHG,600809.XSHG,1
600143.XSHG,600823.XSHG,1
600143.XSHG,601088.XSHG,1
600143.XSHG,601717.XSHG,1
600143.XSHG,601901.XSHG,1
600150.XSHG,600316.XSHG,1
600150.XSHG,600372.XSHG,1
600150.XSHG,601989.XSHG,1
600157.XSHG,600549.XSHG,1
600158.XSHG,600498.XSHG,1
600158.XSHG,600770.XSHG,1
600158.XSHG,601006.XSHG,1
600158.XSHG,601088.XSHG,1
600158.XSHG,601398.XSHG,1
600158.XSHG,601958.XSHG,1
600158.XSHG,601988.XSHG,1
600158.XSHG,603993.XSHG,1
600162.XSHG,600177.XSHG,1
600162.XSHG,600199.XSHG,1
600162.XSHG,600266.XSHG,1
600162.XSHG,600366.XSHG,1
600162.XSHG,600395.XSHG,1
600162.XSHG,600418.XSHG,1
600162.XSHG,600498.XSHG,1
600162.XSHG,600546.XSHG,1
600162.XSHG,600588.XSHG,1
600162.XSHG,600823.XSHG,1
600162.XSHG,601099.XSHG,1
600162.XSHG,601398.XSHG,1
600162.XSHG,601600.XSHG,1
600162.XSHG,601717.XSHG,1
600162.XSHG,601901.XSHG,1
600162.XSHG,601958.XSHG,1
600162.XSHG,603993.XSHG,1
600166.XSHG,600216.XSHG,1
600166.XSHG,600418.XSHG,1
600166.XSHG,600498.XSHG,1
600166.XSHG,600684.XSHG,1
600166.XSHG,601717.XSHG,1
600166.XSHG,601901.XSHG,1
600170.XSHG,600199.XSHG,1
600170.XSHG,600239.XSHG,1
600170.XSHG,600267.XSHG,1
600170.XSHG,600498.XSHG,1
600170.XSHG,600639.XSHG,1
600170.XSHG,600663.XSHG,1
600170.XSHG,600684.XSHG,1
600170.XSHG,600748.XSHG,1
600170.XSHG,600823.XSHG,1
600170.XSHG,600895.XSHG,1
600177.XSHG,600266.XSHG,1
600177.XSHG,600300.XSHG,1
600177.XSHG,600352.XSHG,1
600177.XSHG,600823.XSHG,1
600177.XSHG,600875.XSHG,1
600177.XSHG,601099.XSHG,1
600177.XSHG,601288.XSHG,1
600177.XSHG,601328.XSHG,1
600177.XSHG,601377.XSHG,1
600177.XSHG,601398.XSHG,1
600177.XSHG,601818.XSHG,1
600177.XSHG,601988.XSHG,1
600188.XSHG,600348.XSHG,1
600188.XSHG,600546.XSHG,1
600188.XSHG,601699.XSHG,1
600199.XSHG,600216.XSHG,1
600199.XSHG,600239.XSHG,1
600199.XSHG,600267.XSHG,1
600199.XSHG,600366.XSHG,1
600199.XSHG,600498.XSHG,1
600199.XSHG,600546.XSHG,1
600199.XSHG,600588.XSHG,1
600199.XSHG,600702.XSHG,1
600199.XSHG,600770.XSHG,1
600199.XSHG,600804.XSHG,1
600199.XSHG,600809.XSHG,1
600199.XSHG,601717.XSHG,1
600199.XSHG,601901.XSHG,1
600199.XSHG,603000.XSHG,1
600216.XSHG,600239.XSHG,1
600216.XSHG,600240.XSHG,1
600216.XSHG,600267.XSHG,1
600216.XSHG,600348.XSHG,1
600216.XSHG,600395.XSHG,1
600216.XSHG,600498.XSHG,1
600216.XSHG,600546.XSHG,1
600216.XSHG,601006.XSHG,1
600216.XSHG,601717.XSHG,1
600216.XSHG,601901.XSHG,1
600216.XSHG,601928.XSHG,1
600216.XSHG,601958.XSHG,1
600221.XSHG,601111.XSHG,1
600221.XSHG,601818.XSHG,1
600221.XSHG,601988.XSHG,1
600239.XSHG,600300.XSHG,1
600239.XSHG,600546.XSHG,1
600239.XSHG,600804.XSHG,1
600239.XSHG,600809.XSHG,1
600239.XSHG,600823.XSHG,1
600240.XSHG,600376.XSHG,1
600240.XSHG,601006.XSHG,1
600240.XSHG,601166.XSHG,1
600266.XSHG,600352.XSHG,1
600266.XSHG,600376.XSHG,1
600266.XSHG,600395.XSHG,1
600266.XSHG,600546.XSHG,1
600266.XSHG,600684.XSHG,1
600266.XSHG,600702.XSHG,1
600266.XSHG,600770.XSHG,1
600266.XSHG,600823.XSHG,1
600266.XSHG,601288.XSHG,1
600266.XSHG,601328.XSHG,1
600266.XSHG,601398.XSHG,1
600266.XSHG,601588.XSHG,1
600266.XSHG,601600.XSHG,1
600266.XSHG,601628.XSHG,1
600266.XSHG,601717.XSHG,1
600266.XSHG,601939.XSHG,1
600267.XSHG,600498.XSHG,1
600267.XSHG,600875.XSHG,1
600267.XSHG,600970.XSHG,1
600300.XSHG,600498.XSHG,1
600300.XSHG,600702.XSHG,1
600300.XSHG,600823.XSHG,1
600300.XSHG,601099.XSHG,1
600300.XSHG,601377.XSHG,1
600300.XSHG,601398.XSHG,1
600300.XSHG,601901.XSHG,1
600300.XSHG,601928.XSHG,1
600300.XSHG,601958.XSHG,1
600300.XSHG,603993.XSHG,1
600316.XSHG,600372.XSHG,1
600316.XSHG,600770.XSHG,1
600316.XSHG,601958.XSHG,1
600316.XSHG,603993.XSHG,1
600325.XSHG,600748.XSHG,1
600325.XSHG,600823.XSHG,1
600332.XSHG,601607.XSHG,1
600348.XSHG,600546.XSHG,1
600348.XSHG,601699.XSHG,1
600352.XSHG,600395.XSHG,1
600352.XSHG,600588.XSHG,1
600352.XSHG,600674.XSHG,1
600352.XSHG,600684.XSHG,1
600352.XSHG,600770.XSHG,1
600352.XSHG,600823.XSHG,1
600352.XSHG,600875.XSHG,1
600352.XSHG,601166.XSHG,1
600352.XSHG,601288.XSHG,1
600352.XSHG,601328.XSHG,1
600352.XSHG,601398.XSHG,1
600352.XSHG,601988.XSHG,1
600362.XSHG,601600.XSHG,1
600362.XSHG,601699.XSHG,1
600366.XSHG,600395.XSHG,1
600366.XSHG,600498.XSHG,1
600366.XSHG,600546.XSHG,1
600366.XSHG,600588.XSHG,1
600366.XSHG,600702.XSHG,1
600366.XSHG,600770.XSHG,1
600366.XSHG,600804.XSHG,1
600366.XSHG,600875.XSHG,1
600366.XSHG,601006.XSHG,1
600366.XSHG,601099.XSHG,1
600366.XSHG,601169.XSHG,1
600366.XSHG,601328.XSHG,1
600366.XSHG,601398.XSHG,1
600366.XSHG,601600.XSHG,1
600366.XSHG,601628.XSHG,1
600366.XSHG,601717.XSHG,1
600366.XSHG,601928.XSHG,1
600366.XSHG,601939.XSHG,1
600366.XSHG,601958.XSHG,1
600366.XSHG,603000.XSHG,1
600366.XSHG,603993.XSHG,1
600369.XSHG,601099.XSHG,1
600369.XSHG,601377.XSHG,1
600376.XSHG,600503.XSHG,1
600376.XSHG,601288.XSHG,1
600376.XSHG,601588.XSHG,1
600395.XSHG,600498.XSHG,1
600395.XSHG,600503.XSHG,1
600395.XSHG,600546.XSHG,1
600395.XSHG,600684.XSHG,1
600395.XSHG,600702.XSHG,1
