source,target,weight
600000.XSHG,600015.XSHG,1
600000.XSHG,601009.XSHG,1
600000.XSHG,601166.XSHG,1
600000.XSHG,601169.XSHG,1
600000.XSHG,601288.XSHG,1
600000.XSHG,601328.XSHG,1
600000.XSHG,601398.XSHG,1
600000.XSHG,601818.XSHG,1
600000.XSHG,601988.XSHG,1
600000.XSHG,601998.XSHG,1
600009.XSHG,600663.XSHG,1
600011.XSHG,600027.XSHG,1
600011.XSHG,600795.XSHG,1
600011.XSHG,600886.XSHG,1
600011.XSHG,601600.XSHG,1
600015.XSHG,601009.XSHG,1
600015.XSHG,601166.XSHG,1
600015.XSHG,601169.XSHG,1
600015.XSHG,601818.XSHG,1
600015.XSHG,601998.XSHG,1
600019.XSHG,600221.XSHG,1
600019.XSHG,601600.XSHG,1
600027.XSHG,600795.XSHG,1
600027.XSHG,601600.XSHG,1
600028.XSHG,601857.XSHG,1
600029.XSHG,600221.XSHG,1
600029.XSHG,601111.XSHG,1
600030.XSHG,600837.XSHG,1
600030.XSHG,600999.XSHG,1
600030.XSHG,601099.XSHG,1
600030.XSHG,601377.XSHG,1
600031.XSHG,600970.XSHG,1
600031.XSHG,601117.XSHG,1
600031.XSHG,601668.XSHG,1
600031.XSHG,601669.XSHG,1
600036.XSHG,601169.XSHG,1
600048.XSHG,600376.XSHG,1
600048.XSHG,600823.XSHG,1
600058.XSHG,600111.XSHG,1
600058.XSHG,601600.XSHG,1
600060.XSHG,600690.XSHG,1
600089.XSHG,600674.XSHG,1
600100.XSHG,600366.XSHG,1
600100.XSHG,600498.XSHG,1
600100.XSHG,600516.XSHG,1
600100.XSHG,600770.XSHG,1
600104.XSHG,600690.XSHG,1
600104.XSHG,600741.XSHG,1
600108.XSHG,601118.XSHG,1
600108.XSHG,601899.XSHG,1
600109.XSHG,600999.XSHG,1
600109.XSHG,601099.XSHG,1
600109.XSHG,601377.XSHG,1
600109.XSHG,601555.XSHG,1
600109.XSHG,601688.XSHG,1
600109.XSHG,601901.XSHG,1
600111.XSHG,600256.XSHG,1
600111.XSHG,600362.XSHG,1
600111.XSHG,600497.XSHG,1
600111.XSHG,600549.XSHG,1
600111.XSHG,600809.XSHG,1
600111.XSHG,601958.XSHG,1
600118.XSHG,600316.XSHG,1
600118.XSHG,601989.XSHG,1
600123.XSHG,600157.XSHG,1
600123.XSHG,600256.XSHG,1
600123.XSHG,600348.XSHG,1
600123.XSHG,600362.XSHG,1
600123.XSHG,600395.XSHG,1
600123.XSHG,600497.XSHG,1
600123.XSHG,600546.XSHG,1
600123.XSHG,601088.XSHG,1
600123.XSHG,601699.XSHG,1
600123.XSHG,601808.XSHG,1
600123.XSHG,601958.XSHG,1
600141.XSHG,600143.XSHG,1
600141.XSHG,600160.XSHG,1
600143.XSHG,601117.XSHG,1
600150.XSHG,600316.XSHG,1
600150.XSHG,600372.XSHG,1
600150.XSHG,600893.XSHG,1
600157.XSHG,600256.XSHG,1
600157.XSHG,600497.XSHG,1
600157.XSHG,600546.XSHG,1
600157.XSHG,601699.XSHG,1
600157.XSHG,601958.XSHG,1
600157.XSHG,603993.XSHG,1
600160.XSHG,600166.XSHG,1
600160.XSHG,600498.XSHG,1
600160.XSHG,600770.XSHG,1
600166.XSHG,600418.XSHG,1
600166.XSHG,600770.XSHG,1
600170.XSHG,600970.XSHG,1
600170.XSHG,601117.XSHG,1
600199.XSHG,600300.XSHG,1
600199.XSHG,600809.XSHG,1
600221.XSHG,601111.XSHG,1
600239.XSHG,600516.XSHG,1
600239.XSHG,600684.XSHG,1
600239.XSHG,600736.XSHG,1
600239.XSHG,601717.XSHG,1
600256.XSHG,600497.XSHG,1
600256.XSHG,600887.XSHG,1
600267.XSHG,600503.XSHG,1
600267.XSHG,600770.XSHG,1
600300.XSHG,600736.XSHG,1
600300.XSHG,600770.XSHG,1
600316.XSHG,600372.XSHG,1
600316.XSHG,600765.XSHG,1
600316.XSHG,600893.XSHG,1
600348.XSHG,600395.XSHG,1
600348.XSHG,600546.XSHG,1
600348.XSHG,601088.XSHG,1
600348.XSHG,601600.XSHG,1
600348.XSHG,601699.XSHG,1
600348.XSHG,601958.XSHG,1
600362.XSHG,600497.XSHG,1
600362.XSHG,600546.XSHG,1
600362.XSHG,601699.XSHG,1
600362.XSHG,601958.XSHG,1
600362.XSHG,603993.XSHG,1
600366.XSHG,600498.XSHG,1
600366.XSHG,600736.XSHG,1
600372.XSHG,600893.XSHG,1
